elapsed_ms,read_gib_s,write_gib_s,total_gib_s,time_s
33269.943,82.7861328125,4.2578125,87.0439453125,33.21659
33323.738,84.6279296875,2.80078125,87.4287109375,33.270385
33375.56,56.0966796875,21.0341796875,77.130859375,33.32220699999999
33425.97,56.443359375,12.9951171875,69.4384765625,33.372617
33477.745,84.6181640625,3.779296875,88.3974609375,33.424392
33530.093,68.93359375,8.7734375,77.70703125,33.47674
33580.363,74.2900390625,19.869140625,94.1591796875,33.52701
33630.281,77.671875,1.533203125,79.205078125,33.576928
33681.492,73.3388671875,1.2177734375,74.556640625,33.628139
33731.413,58.134765625,20.685546875,78.8203125,33.678059999999995
33781.284,61.8515625,10.705078125,72.556640625,33.727931
33831.937,87.056640625,1.4697265625,88.5263671875,33.778583999999995
33881.963,67.0244140625,8.994140625,76.0185546875,33.82861
33931.741,69.3466796875,19.5673828125,88.9140625,33.878388
33981.762,78.4365234375,1.0849609375,79.521484375,33.928409
34033.672,78.0693359375,2.525390625,80.5947265625,33.980318999999994
34083.481,61.068359375,20.3935546875,81.4619140625,34.030128
34133.059,60.6728515625,9.3779296875,70.05078125,34.079706
34184.15,89.4541015625,1.53125,90.9853515625,34.130797
34233.955,64.115234375,11.119140625,75.234375,34.180602
34284.299,64.912109375,19.703125,84.615234375,34.230945999999996
34335.392,83.2158203125,1.2548828125,84.470703125,34.282039
34386.224,73.2841796875,1.2919921875,74.576171875,34.332871
34436.428,65.685546875,21.71484375,87.400390625,34.383075
34486.771,68.6845703125,7.9287109375,76.61328125,34.433417999999996
34537.489,85.5732421875,2.6142578125,88.1875,34.484136
34590.077,65.6025390625,13.7587890625,79.361328125,34.53672399999999
34641.157,61.9443359375,19.302734375,81.2470703125,34.587804
34692.909,82.154296875,2.7119140625,84.8662109375,34.639556
34744.8,79.046875,5.560546875,84.607421875,34.691447
34795.732,66.2001953125,22.1357421875,88.3359375,34.742379
34845.757,75.224609375,4.7236328125,79.9482421875,34.792404
34897.509,91.6962890625,1.2197265625,92.916015625,34.844156
34947.748,50.2431640625,17.72265625,67.9658203125,34.894394999999996
34997.635,54.33984375,13.474609375,67.814453125,34.944282
35048.049,81.2998046875,1.6806640625,82.98046875,34.994696
35098.545,76.310546875,6.85546875,83.166015625,35.04519199999999
35148.452,68.9462890625,20.7255859375,89.671875,35.095099
35198.437,83.861328125,2.7421875,86.603515625,35.145084
35248.835,83.4599609375,1.603515625,85.0634765625,35.195482
35298.533,54.416015625,18.4951171875,72.9111328125,35.24518
35347.969,55.390625,13.3818359375,68.7724609375,35.294616
35397.714,82.841796875,1.7236328125,84.5654296875,35.344361
35448.644,79.8623046875,7.412109375,87.2744140625,35.395291
35498.939,69.232421875,20.8359375,90.068359375,35.445586
35548.802,89.603515625,1.251953125,90.85546875,35.495449
