timestamp,time_s,preprocess_ms,vision_ms,language_ms,postprocess_ms,total_ms,boxes,points,generated_tokens,pbd_calls,pbd_accepted_tokens,stop_reason,labels,mode
1787057805.46182,9.711202383041382,18.77,46.894,128.036,0.014,255.258,1,0,10,3,10,im_end,box,hybrid
1787057805.5895596,9.838942050933838,18.766,46.833,127.555,0.018,255.769,1,0,10,3,10,im_end,box,hybrid
1787057805.7167408,9.966123342514038,18.167,47.731,127.006,0.014,254.741,1,0,10,3,10,im_end,box,hybrid
1787057805.843809,10.093191385269165,18.447,47.125,126.895,0.014,254.062,1,0,10,3,10,im_end,box,hybrid
1787057805.9710317,10.220414161682129,18.373,47.27,127.048,0.014,254.115,1,0,10,3,10,im_end,box,hybrid
1787057806.1003938,10.349776268005371,18.494,47.018,129.178,0.015,256.403,1,0,10,3,10,im_end,box,hybrid
1787057806.232081,10.481463432312012,18.511,48.192,131.517,0.014,260.869,1,0,10,3,10,im_end,box,hybrid
1787057806.3601556,10.609538078308105,18.6,47.66,127.858,0.015,259.578,1,0,10,3,10,im_end,box,hybrid
1787057806.4871478,10.736530303955078,18.289,47.194,126.823,0.015,254.853,1,0,10,3,10,im_end,box,hybrid
1787057806.6146042,10.863986730575562,18.218,47.425,127.247,0.013,254.271,1,0,10,3,10,im_end,box,hybrid
1787057806.7415357,10.990918159484863,18.268,47.2,126.715,0.014,254.175,1,0,10,3,10,im_end,box,hybrid
1787057806.8684793,11.1178617477417,18.667,46.795,126.738,0.015,253.63,1,0,10,3,10,im_end,box,hybrid
1787057806.9955225,11.2449049949646,18.352,47.316,126.788,0.013,253.801,1,0,10,3,10,im_end,box,hybrid
1787057807.1230636,11.372446060180664,18.617,46.87,127.335,0.014,254.349,1,0,10,3,10,im_end,box,hybrid
1787057807.2502034,11.4995858669281,18.188,47.239,126.967,0.014,254.469,1,0,10,3,10,im_end,box,hybrid
1787057807.3798804,11.629262924194336,18.232,47.373,129.5,0.015,256.636,1,0,10,3,10,im_end,box,hybrid
1787057807.509971,11.759353399276733,18.268,48.104,129.888,0.014,259.588,1,0,10,3,10,im_end,box,hybrid
1787057807.6374004,11.886782884597778,18.633,47.684,127.248,0.014,257.309,1,0,10,3,10,im_end,box,hybrid
1787057807.7655964,12.014978885650635,18.549,46.967,128.017,0.015,255.444,1,0,10,3,10,im_end,box,hybrid
1787057807.8921516,12.141534090042114,18.492,47.025,126.377,0.015,254.572,1,0,10,3,10,im_end,box,hybrid
1787057808.021478,12.270860433578491,18.234,47.103,129.117,0.015,255.703,1,0,10,3,10,im_end,box,hybrid
1787057808.147799,12.397181510925293,18.321,47.133,126.125,0.029,255.424,1,0,10,3,10,im_end,box,hybrid
1787057808.2748792,12.524261713027954,18.237,47.046,126.907,0.013,253.227,1,0,10,3,10,im_end,box,hybrid
1787057808.4022877,12.651670217514038,18.443,47.507,127.23,0.015,254.309,1,0,10,3,10,im_end,box,hybrid
1787057808.5294049,12.77878737449646,18.715,46.873,126.93,0.014,254.332,1,0,10,3,10,im_end,box,hybrid
1787057808.660004,12.909386396408081,19.144,46.241,130.393,0.014,257.534,1,0,10,3,10,im_end,box,hybrid
1787057808.789244,13.038626432418823,18.191,47.882,129.069,0.013,259.636,1,0,10,3,10,im_end,box,hybrid
1787057808.9158013,13.165183782577515,18.237,47.965,126.376,0.016,255.62,1,0,10,3,10,im_end,box,hybrid
1787057809.042704,13.292086601257324,18.269,47.093,126.719,0.013,253.28,1,0,10,3,10,im_end,box,hybrid
1787057809.169527,13.418909549713135,18.28,47.171,126.616,0.014,253.54,1,0,10,3,10,im_end,box,hybrid
1787057809.297782,13.54716444015503,18.292,47.351,128.071,0.014,254.868,1,0,10,3,10,im_end,box,hybrid
1787057809.4257393,13.675121784210205,18.574,47.061,127.775,0.013,256.034,1,0,10,3,10,im_end,box,hybrid
1787057809.555036,13.804418563842773,18.274,47.204,129.129,0.014,257.073,1,0,10,3,10,im_end,box,hybrid
1787057809.6821773,13.931559801101685,18.577,47.0,126.97,0.013,256.267,1,0,10,3,10,im_end,box,hybrid
1787057809.810803,14.060185432434082,18.221,47.275,128.454,0.013,255.583,1,0,10,3,10,im_end,box,hybrid
1787057809.9406304,14.19001293182373,18.391,47.101,129.61,0.013,258.242,1,0,10,3,10,im_end,box,hybrid
1787057810.0697784,14.31916093826294,18.322,48.21,128.969,0.014,258.791,1,0,10,3,10,im_end,box,hybrid
1787057810.2001987,14.449581146240234,18.148,48.247,130.238,0.016,259.381,1,0,10,3,10,im_end,box,hybrid
1787057810.327572,14.57695460319519,18.551,47.163,127.151,0.016,257.608,1,0,10,3,10,im_end,box,hybrid
1787057810.4551606,14.704543113708496,18.395,47.147,127.407,0.015,254.74,1,0,10,3,10,im_end,box,hybrid
1787057810.581819,14.831201553344727,18.75,47.246,126.49,0.014,254.068,1,0,10,3,10,im_end,box,hybrid
1787057810.7087727,14.958155155181885,18.551,47.006,126.782,0.014,253.437,1,0,10,3,10,im_end,box,hybrid
1787057810.836166,15.085548400878906,18.486,46.97,127.219,0.014,254.175,1,0,10,3,10,im_end,box,hybrid
1787057810.9635901,15.212972640991211,18.495,47.3,127.226,0.014,254.624,1,0,10,3,10,im_end,box,hybrid
1787057811.0916803,15.341062784194946,18.302,47.567,127.915,0.013,255.31,1,0,10,3,10,im_end,box,hybrid
1787057811.2214546,15.470837116241455,18.544,47.052,129.598,0.015,257.685,1,0,10,3,10,im_end,box,hybrid
1787057811.3547485,15.604130983352661,18.478,47.823,133.112,0.014,262.895,1,0,10,3,10,im_end,box,hybrid
1787057811.485082,15.734464406967163,18.336,47.845,130.161,0.014,263.429,1,0,10,3,10,im_end,box,hybrid
1787057811.6114142,15.860796689987183,18.366,47.62,126.159,0.015,256.492,1,0,10,3,10,im_end,box,hybrid
1787057811.7383559,15.987738370895386,18.241,47.056,126.734,0.013,253.1,1,0,10,3,10,im_end,box,hybrid
1787057811.8649619,16.114344358444214,18.416,47.148,126.43,0.015,253.337,1,0,10,3,10,im_end,box,hybrid
1787057811.9940736,16.2434561252594,18.443,47.162,128.936,0.014,255.545,1,0,10,3,10,im_end,box,hybrid
1787057812.122539,16.37192153930664,18.825,46.831,128.29,0.015,257.402,1,0,10,3,10,im_end,box,hybrid
1787057812.2497482,16.499130725860596,18.327,47.314,127.038,0.016,255.497,1,0,10,3,10,im_end,box,hybrid
1787057812.3813841,16.63076663017273,18.512,47.252,131.465,0.014,258.679,1,0,10,3,10,im_end,box,hybrid
1787057812.511518,16.760900497436523,18.594,46.802,129.956,0.014,261.588,1,0,10,3,10,im_end,box,hybrid
1787057812.6398463,16.88922882080078,18.391,48.08,128.151,0.015,258.279,1,0,10,3,10,im_end,box,hybrid
1787057812.766538,17.015920400619507,18.831,47.709,126.516,0.013,254.844,1,0,10,3,10,im_end,box,hybrid
1787057812.8936756,17.14305806159973,18.656,47.011,126.964,0.013,253.65,1,0,10,3,10,im_end,box,hybrid
1787057813.0222669,17.27164936065674,18.514,47.363,128.393,0.013,255.556,1,0,10,3,10,im_end,box,hybrid
1787057813.1489213,17.398303747177124,18.475,46.929,126.493,0.013,255.046,1,0,10,3,10,im_end,box,hybrid
1787057813.2757998,17.525182247161865,18.459,47.381,126.706,0.015,253.358,1,0,10,3,10,im_end,box,hybrid
1787057813.4026399,17.65202236175537,18.41,47.36,126.672,0.014,253.547,1,0,10,3,10,im_end,box,hybrid
1787057813.5294905,17.778872966766357,18.306,47.329,126.679,0.014,253.518,1,0,10,3,10,im_end,box,hybrid
1787057813.6576746,17.90705704689026,18.217,47.359,128.003,0.015,254.855,1,0,10,3,10,im_end,box,hybrid
1787057813.7864306,18.035813093185425,18.35,47.431,128.577,0.014,256.764,1,0,10,3,10,im_end,box,hybrid
1787057813.9144287,18.163811206817627,18.482,47.717,127.814,0.016,256.558,1,0,10,3,10,im_end,box,hybrid
1787057814.0417368,18.29111933708191,18.475,47.595,127.131,0.014,255.121,1,0,10,3,10,im_end,box,hybrid
1787057814.169519,18.418901443481445,18.437,47.263,127.603,0.014,254.915,1,0,10,3,10,im_end,box,hybrid
1787057814.2961776,18.545560121536255,18.641,47.453,126.483,0.014,254.254,1,0,10,3,10,im_end,box,hybrid
1787057814.4222615,18.67164397239685,18.62,46.849,125.902,0.013,252.549,1,0,10,3,10,im_end,box,hybrid
1787057814.5485525,18.797935009002686,18.205,47.052,126.123,0.017,252.204,1,0,10,3,10,im_end,box,hybrid
1787057814.6764581,18.925840616226196,18.434,47.021,127.712,0.013,254.019,1,0,10,3,10,im_end,box,hybrid
1787057814.8044717,19.05385422706604,18.209,47.253,127.815,0.014,255.725,1,0,10,3,10,im_end,box,hybrid
1787057814.9331744,19.182556867599487,18.249,47.436,128.516,0.014,256.453,1,0,10,3,10,im_end,box,hybrid
1787057815.062248,19.311630487442017,18.644,46.785,128.902,0.014,257.582,1,0,10,3,10,im_end,box,hybrid
1787057815.1899998,19.439382314682007,18.604,47.662,127.571,0.013,256.65,1,0,10,3,10,im_end,box,hybrid
1787057815.3165877,19.565970182418823,18.449,47.676,126.354,0.013,254.144,1,0,10,3,10,im_end,box,hybrid
1787057815.4430466,19.692429065704346,18.128,47.486,126.275,0.015,252.825,1,0,10,3,10,im_end,box,hybrid
1787057815.5702028,19.81958532333374,18.726,46.669,126.983,0.013,253.432,1,0,10,3,10,im_end,box,hybrid
1787057815.696938,19.94632053375244,18.701,47.135,126.566,0.014,253.714,1,0,10,3,10,im_end,box,hybrid
1787057815.8239782,20.073360681533813,18.561,46.951,126.869,0.014,253.605,1,0,10,3,10,im_end,box,hybrid
1787057815.950393,20.199775457382202,18.348,47.452,126.249,0.015,253.292,1,0,10,3,10,im_end,box,hybrid
1787057816.0775375,20.32692003250122,18.677,46.84,126.937,0.013,253.379,1,0,10,3,10,im_end,box,hybrid
1787057816.206478,20.45586061477661,18.61,46.943,128.76,0.015,255.85,1,0,10,3,10,im_end,box,hybrid
1787057816.3369188,20.58630132675171,18.255,47.499,130.263,0.014,259.196,1,0,10,3,10,im_end,box,hybrid
